,id,c_percent,lat,lon,alt,site,site_alt,site_alt_id
411,14-4-D,0.2991774117335389,32.4232332655168,-85.4177935278981,-17.5,13,13_D,D
412,14-4-E,0.2805598835441854,32.4232332655168,-85.4177935278981,-22.5,13,13_E,E
413,14-4-F,0.16500042941650983,32.4232332655168,-85.4177935278981,-27.5,13,13_F,F
414,14-5-A,0.6261961987975581,32.4232332655168,-85.4177935278981,-2.5,13,13_A,A
415,14-5-B,0.397493114889516,32.4232332655168,-85.4177935278981,-7.5,13,13_B,B
416,14-5-C,0.38131810624603396,32.4232332655168,-85.4177935278981,-12.5,13,13_C,C
417,14-5-D,0.2462898159032705,32.4232332655168,-85.4177935278981,-17.5,13,13_D,D
418,14-5-E,0.18361549443207126,32.4232332655168,-85.4177935278981,-22.5,13,13_E,E
419,14-5-F,0.20937932929051853,32.4232332655168,-85.4177935278981,-27.5,13,13_F,F
420,15-1-A,0.9276550063243104,32.422262700674,-85.4172988014517,-2.5,14,14_A,A
421,15-1-B,0.6332017286698357,32.422262700674,-85.4172988014517,-7.5,14,14_B,B
422,15-1-C,0.22926624356939404,32.422262700674,-85.4172988014517,-12.5,14,14_C,C
423,15-1-D,0.4165478419890001,32.422262700674,-85.4172988014517,-17.5,14,14_D,D
424,15-1-E,0.3933389211217079,32.422262700674,-85.4172988014517,-22.5,14,14_E,E
425,15-1-F,0.2604568803360889,32.422262700674,-85.4172988014517,-27.5,14,14_F,F
426,15-2-A,0.9734776559763573,32.422262700674,-85.4172988014517,-2.5,14,14_A,A
427,15-2-B,0.5538268762136439,32.422262700674,-85.4172988014517,-7.5,14,14_B,B
428,15-2-C,0.3779305617325728,32.422262700674,-85.4172988014517,-12.5,14,14_C,C
429,15-2-D,0.35487407790620135,32.422262700674,-85.4172988014517,-17.5,14,14_D,D
430,15-2-E,0.24535468953943687,32.422262700674,-85.4172988014517,-22.5,14,14_E,E
431,15-2-F,0.20129920797109382,32.422262700674,-85.4172988014517,-27.5,14,14_F,F
432,15-3-A,0.6712021924186692,32.422262700674,-85.4172988014517,-2.5,14,14_A,A
433,15-3-B,0.42447492542125176,32.422262700674,-85.4172988014517,-7.5,14,14_B,B
434,15-3-C,0.2815515603138962,32.422262700674,-85.4172988014517,-12.5,14,14_C,C
435,15-3-D,0.29851963114573704,32.422262700674,-85.4172988014517,-17.5,14,14_D,D
436,15-3-E,0.19129500306835343,32.422262700674,-85.4172988014517,-22.5,14,14_E,E
437,15-3-F,0.2257588940442722,32.422262700674,-85.4172988014517,-27.5,14,14_F,F
438,15-4-A,0.999614562460781,32.422262700674,-85.4172988014517,-2.5,14,14_A,A
439,15-4-B,0.6165987689154157,32.422262700674,-85.4172988014517,-7.5,14,14_B,B
440,15-4-C,0.2994749263690262,32.422262700674,-85.4172988014517,-12.5,14,14_C,C
441,15-4-D,0.2077721628213579,32.422262700674,-85.4172988014517,-17.5,14,14_D,D
442,15-4-E,0.3326095979747926,32.422262700674,-85.4172988014517,-22.5,14,14_E,E
443,15-4-F,0.11440752253652473,32.422262700674,-85.4172988014517,-27.5,14,14_F,F
444,15-5-A,0.7707499548343169,32.422262700674,-85.4172988014517,-2.5,14,14_A,A
445,15-5-B,0.38759038797123546,32.422262700674,-85.4172988014517,-7.5,14,14_B,B
446,15-5-C,0.3495405158362302,32.422262700674,-85.4172988014517,-12.5,14,14_C,C
447,15-5-D,0.283453615867016,32.422262700674,-85.4172988014517,-17.5,14,14_D,D
448,15-5-E,0.18234616229618048,32.422262700674,-85.4172988014517,-22.5,14,14_E,E
449,15-5-F,0.19274674697687247,32.422262700674,-85.4172988014517,-27.5,14,14_F,F
450,16-1-A,1.0556583350935245,32.4213382820685,-85.4168006135961,-2.5,15,15_A,A
451,16-1-B,0.3464904035275254,32.4213382820685,-85.4168006135961,-7.5,15,15_B,B
452,16-1-C,0.39036946329806876,32.4213382820685,-85.4168006135961,-12.5,15,15_C,C
453,16-1-D,0.352437269808056,32.4213382820685,-85.4168006135961,-17.5,15,15_D,D
454,16-1-E,0.21548725472620972,32.4213382820685,-85.4168006135961,-22.5,15,15_E,E
455,16-1-F,0.27659823035705816,32.4213382820685,-85.4168006135961,-27.5,15,15_F,F
456,16-2-A,1.0736710668900928,32.4213382820685,-85.4168006135961,-2.5,15,15_A,A
457,16-2-B,0.5664947986539539,32.4213382820685,-85.4168006135961,-7.5,15,15_B,B
458,16-2-C,0.4375667290370306,32.4213382820685,-85.4168006135961,-12.5,15,15_C,C
459,16-2-D,0.4891948815594289,32.4213382820685,-85.4168006135961,-17.5,15,15_D,D
460,16-2-E,0.494665423198425,32.4213382820685,-85.4168006135961,-22.5,15,15_E,E
461,16-2-F,0.47440071478341644,32.4213382820685,-85.4168006135961,-27.5,15,15_F,F
462,16-3-A,0.8038387896019495,32.4213382820685,-85.4168006135961,-2.5,15,15_A,A
463,16-3-B,0.6955537009155647,32.4213382820685,-85.4168006135961,-7.5,15,15_B,B
464,16-3-C,0.4193002265158371,32.4213382820685,-85.4168006135961,-12.5,15,15_C,C
465,16-3-D,0.28355082059198605,32.4213382820685,-85.4168006135961,-17.5,15,15_D,D
466,16-3-E,0.21299905534287808,32.4213382820685,-85.4168006135961,-22.5,15,15_E,E
467,16-3-F,0.2262702364438141,32.4213382820685,-85.4168006135961,-27.5,15,15_F,F
468,16-4-A,0.6736213650392107,32.4213382820685,-85.4168006135961,-2.5,15,15_A,A
469,16-4-B,0.38411616581678937,32.4213382820685,-85.4168006135961,-7.5,15,15_B,B
470,16-4-C,0.41662271179520677,32.4213382820685,-85.4168006135961,-12.5,15,15_C,C
471,16-4-D,0.30028955891073295,32.4213382820685,-85.4168006135961,-17.5,15,15_D,D
472,16-4-E,0.2594455369353793,32.4213382820685,-85.4168006135961,-22.5,15,15_E,E
473,16-4-F,0.24946302077631252,32.4213382820685,-85.4168006135961,-27.5,15,15_F,F
474,16-5-A,1.1611609646560275,32.4213382820685,-85.4168006135961,-2.5,15,15_A,A
475,16-5-B,0.6372586563948732,32.4213382820685,-85.4168006135961,-7.5,15,15_B,B
476,16-5-C,0.5998925374093496,32.4213382820685,-85.4168006135961,-12.5,15,15_C,C
477,16-5-D,0.2673321555053123,32.4213382820685,-85.4168006135961,-17.5,15,15_D,D
478,16-5-E,0.21772873294117648,32.4213382820685,-85.4168006135961,-22.5,15,15_E,E
479,16-5-F,0.18913905038759693,32.4213382820685,-85.4168006135961,-27.5,15,15_F,F
480,17-1-A,0.8464092404036593,32.4209783305179,-85.4160948513055,-2.5,16,16_A,A
481,17-1-B,0.5504870176983657,32.4209783305179,-85.4160948513055,-7.5,16,16_B,B
482,17-1-C,0.3892136550847829,32.4209783305179,-85.4160948513055,-12.5,16,16_C,C
483,17-1-D,0.3433586274891354,32.4209783305179,-85.4160948513055,-17.5,16,16_D,D
484,17-1-E,0.400661028235855,32.4209783305179,-85.4160948513055,-22.5,16,16_E,E
485,17-1-F,0.468612608146099,32.4209783305179,-85.4160948513055,-27.5,16,16_F,F
486,17-2-A,0.5596868951202807,32.4209783305179,-85.4160948513055,-2.5,16,16_A,A
487,17-2-B,0.5879486196630134,32.4209783305179,-85.4160948513055,-7.5,16,16_B,B
488,17-2-C,0.5435512180828425,32.4209783305179,-85.4160948513055,-12.5,16,16_C,C
489,17-2-D,0.5329036623735461,32.4209783305179,-85.4160948513055,-17.5,16,16_D,D
490,17-2-E,0.4582379096441947,32.4209783305179,-85.4160948513055,-22.5,16,16_E,E
491,17-2-F,0.3346432234977616,32.4209783305179,-85.4160948513055,-27.5,16,16_F,F
492,17-3-A,0.6152613939131624,32.4209783305179,-85.4160948513055,-2.5,16,16_A,A
493,17-3-B,0.47516900520506145,32.4209783305179,-85.4160948513055,-7.5,16,16_B,B
494,17-3-C,0.42288050315770476,32.4209783305179,-85.4160948513055,-12.5,16,16_C,C
495,17-3-D,0.27033539146327357,32.4209783305179,-85.4160948513055,-17.5,16,16_D,D
496,17-3-E,0.19609545766832495,32.4209783305179,-85.4160948513055,-22.5,16,16_E,E
497,17-3-F,0.22170995377773886,32.4209783305179,-85.4160948513055,-27.5,16,16_F,F
498,17-4-A,0.893512541474989,32.4209783305179,-85.4160948513055,-2.5,16,16_A,A
